2026-05-18 09:39:11,808 - 1
2026-05-18 09:59:51,659 - 2
2026-05-18 10:03:24,713 - 3
2026-05-18 10:09:38,286 - 4
2026-05-18 10:12:50,190 - 5
2026-05-18 10:18:17,261 - 6
2026-05-18 10:23:31,530 - 7
2026-05-18 10:25:30,874 - 8
2026-05-18 10:40:39,722 - 9
2026-05-18 10:41:38,101 - 10
2026-05-18 10:50:53,841 - 11
2026-05-18 10:52:07,499 - 12
2026-05-18 10:59:14,921 - 13
2026-05-18 11:17:59,583 - 14
2026-05-18 11:26:44,108 - 15
2026-05-18 12:50:03,614 - 16
2026-05-18 12:54:22,545 - 17
2026-05-18 12:58:41,215 - 18
2026-05-18 12:59:14,823 - 19
2026-05-18 13:00:40,522 - 20
2026-05-18 13:01:37,658 - 21
2026-05-18 14:26:34,437 - 22
2026-05-18 14:33:48,015 - 23
2026-05-18 14:36:42,054 - 24
2026-05-18 14:42:31,195 - 25
2026-05-18 14:42:40,975 - 26
2026-05-18 14:45:03,535 - 27
2026-05-18 14:45:46,310 - 28
2026-05-18 14:47:20,884 - 29
2026-05-18 14:58:01,375 - 30
2026-05-18 15:42:14,000 - 31
2026-05-18 15:47:40,448 - 32
2026-05-18 15:48:00,676 - 33
2026-05-18 15:49:48,031 - 34
2026-05-18 16:53:24,361 - 35
2026-05-18 16:55:12,927 - 36
2026-05-18 17:24:39,812 - 37
2026-05-18 18:00:36,730 - 38
