2026-06-01 10:30:09,055 - 1
2026-06-01 10:48:12,828 - 2
2026-06-01 10:52:38,310 - 3
2026-06-01 10:55:57,522 - 4
2026-06-01 10:59:12,745 - 5
2026-06-01 11:01:09,363 - 6
2026-06-01 11:02:43,116 - 7
2026-06-01 11:04:29,768 - 8
2026-06-01 12:20:29,493 - 9
2026-06-01 12:47:39,474 - 10
2026-06-01 14:11:33,514 - 11
2026-06-01 14:44:52,795 - 12
2026-06-01 16:35:50,195 - 13
2026-06-01 16:53:05,464 - 14
2026-06-01 17:11:04,009 - 15
2026-06-01 17:11:08,074 - 16
2026-06-01 17:15:10,984 - 17
2026-06-01 17:17:42,510 - 18
2026-06-01 17:17:46,276 - 19
2026-06-01 17:22:46,451 - 20
2026-06-01 17:30:21,865 - 21
2026-06-01 17:34:38,980 - 22
2026-06-01 17:59:52,083 - 23
